indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType
Age16_HYP_242,1,118,Test,16,17.3125343331197,Combined,GLM
Age16_HIP_3157,2,175,Test,16,19.6065272604042,Combined,GLM
Age16_HIP_1758,1,131,Test,16,15.0999953315959,Combined,GLM
Age16_HIP_1387,2,125,Test,16,21.8176873327586,Combined,GLM
Age16_HIP_1401,1,98,Test,16,12.1076819117436,Combined,GLM
Age16_HIP_1414,2,180,Test,16,18.4726943275357,Combined,GLM
Age16_HIP_5348,2,161,Test,16,18.2279598142753,Combined,GLM
Age16_HIP_1985,2,191,Test,16,17.1693735944629,Combined,GLM
Age16_HIP_1717,1,95,Test,16,13.230265521255,Combined,GLM
Age17_HYP_110,1,119,Test,17,17.4109345337296,Combined,GLM
Age17_HYP_156,1,114,Test,17,17.1088888547504,Combined,GLM
Age17_HYP_162,1,118,Test,17,17.5733920728689,Combined,GLM
Age17_HIP_3148,2,162,Test,17,16.3070610333662,Combined,GLM
Age17_HIP_3150,2,136,Test,17,14.3361952676837,Combined,GLM
Age17_HIP_1753,2,209,Test,17,18.8941509251382,Combined,GLM
Age17_HIP_3019,2,156,Test,17,15.5938133887963,Combined,GLM
Age18_HYP_551,2,173,Test,18,18.6474317419895,Combined,GLM
Age18_HYP_560,1,120,Test,18,18.6923221743751,Combined,GLM
Age18_HYP_589,1,123,Test,18,19.2008080009535,Combined,GLM
Age18_HYP_772,1,120,Test,18,18.9163914343045,Combined,GLM
Age18_HIP_6325,1,82,Test,18,13.3740549736726,Combined,GLM
Age18_HIP_1724,2,125,Test,18,14.7278168116463,Combined,GLM
Age18_HIP_3051,2,169,Test,18,17.1284262805146,Combined,GLM
Age18_HIP_3058,1,127,Test,18,17.2680032784845,Combined,GLM
Age18_HIP_5336,2,194,Test,18,15.1181709441282,Combined,GLM
Age19_HIP_1300,1,132,Test,19,16.3428455931814,Combined,GLM
Age19_HYP_108,1,123,Test,19,16.0989875019825,Combined,GLM
Age19_HIP_1454,2,179,Test,19,22.4671362843908,Combined,GLM
Age19_LLNS18_3608,2,198,Test,19,14.5518392653176,Combined,GLM
Age20_HIP_5369,2,193,Test,20,19.7267821325543,Combined,GLM
Age21_HIP_5056,1,98,Test,21,19.9658876019699,Combined,GLM
Age21_HIP_4234,1,110,Test,21,17.0479155631323,Combined,GLM
Age23_HIP_1716,2,180,Test,23,14.9399207786963,Combined,GLM
Age23_HIP_2753,1,126,Test,23,16.5893695978063,Combined,GLM
Age29_HIP_6730,2,236,Test,29,25.965523389949,Combined,GLM
Age4_HIP_5463,1,51,Test,4,6.37471752512584,Combined,GAM
Age4_HIP_5490,2,83,Test,4,7.78806016553866,Combined,GAM
Age4_HIP_5498,2,78,Test,4,6.86746384055644,Combined,GAM
Age4_HIP_5513,2,49,Test,4,4.60039535603351,Combined,GAM
Age4_HIP_5517,1,38,Test,4,6.80928848796071,Combined,GAM
Age4_HIP_5520,2,65,Test,4,3.37479858261203,Combined,GAM
Age4_HIP_5525,1,34,Test,4,7.87497946280077,Combined,GAM
Age4_HIP_5530,1,38,Test,4,4.35152514634632,Combined,GAM
Age4_HIP_5533,1,60,Test,4,4.82139033253981,Combined,GAM
Age4_HIP_91,1,44,Test,4,4.90296452156146,Combined,GAM
Age4_HIP_93,2,45,Test,4,9.01636510612977,Combined,GAM
Age6_HYP_132,2,108,Test,6,6.87444148203586,Combined,GAM
Age6_HYP_163,1,83,Test,6,6.57466588394904,Combined,GAM
Age6_HYP_177,2,90,Test,6,7.20746236650499,Combined,GAM
Age6_HYP_187,1,92,Test,6,4.27682454534118,Combined,GAM
Age6_HYP_251,1,114,Test,6,13.200525858689,Combined,GAM
Age6_HYP_265,1,105,Test,6,6.99866084417509,Combined,GAM
Age6_HYP_488,2,84,Test,6,9.55404203320049,Combined,GAM
Age6_HYP_540,2,103,Test,6,9.17693155568539,Combined,GAM
Age6_HYP_599,1,100,Test,6,7.13462661810159,Combined,GAM
Age6_HYP_731,1,108,Test,6,8.78340389943781,Combined,GAM
Age6_HYP_91,2,105,Test,6,4.66683654625346,Combined,GAM
Age8_HYP_102,1,88,Test,8,7.08816831128377,Combined,GAM
Age8_HYP_197,1,113,Test,8,12.5805609352206,Combined,GAM
Age8_HYP_250,2,125,Test,8,9.67339260515214,Combined,GAM
Age8_HYP_530,2,96,Test,8,14.1326588018949,Combined,GAM
Age8_HYP_593,2,107,Test,8,7.8852785688096,Combined,GAM
Age8_HYP_618,2,92,Test,8,9.22782923509282,Combined,GAM
Age8_HYP_621,1,108,Test,8,7.77061841337665,Combined,GAM
Age8_HYP_639,1,100,Test,8,8.46149999202905,Combined,GAM
Age8_HYP_732,1,112,Test,8,9.23537089010974,Combined,GAM
Age8_HYP_735,1,120,Test,8,11.6266300703978,Combined,GAM
Age8_HYP_90,2,99,Test,8,11.3527068555737,Combined,GAM
Age10_HYP_10,2,111,Test,10,8.55333887316217,Combined,GAM
Age10_HYP_164,1,94,Test,10,10.1950837676308,Combined,GAM
Age10_HYP_266,2,114,Test,10,10.1220280876842,Combined,GAM
Age10_HYP_47,1,98,Test,10,12.9157710283455,Combined,GAM
Age10_HYP_494,2,143,Test,10,13.935694937375,Combined,GAM
Age10_HYP_52,1,94,Test,10,11.6981882282834,Combined,GAM
Age10_HYP_526,2,122,Test,10,8.59717997556106,Combined,GAM
Age10_HYP_531,2,154,Test,10,10.5304350365714,Combined,GAM
Age10_HYP_544,1,118,Test,10,9.97632544344009,Combined,GAM
Age10_HYP_568,1,83,Test,10,11.0055352981199,Combined,GAM
Age10_HYP_645,1,120,Test,10,8.16764024840841,Combined,GAM
Age12_HYP_135,1,112,Test,12,12.7619865657433,Combined,GAM
Age12_HYP_165,1,111,Test,12,8.31218953290609,Combined,GAM
Age12_HYP_211,2,145,Test,12,13.7494891004694,Combined,GAM
Age12_HYP_224,2,146,Test,12,15.8920584210381,Combined,GAM
Age12_HYP_227,1,90,Test,12,9.84110612283074,Combined,GAM
Age12_HYP_236,2,130,Test,12,9.2763824324447,Combined,GAM
Age12_HYP_502,2,135,Test,12,14.2871717526234,Combined,GAM
Age12_HYP_517,2,128,Test,12,10.2737496994294,Combined,GAM
Age12_HYP_572,1,94,Test,12,5.40000782178463,Combined,GAM
Age12_HYP_603,1,121,Test,12,12.5348440152931,Combined,GAM
Age12_HYP_610,1,115,Test,12,10.4598668487567,Combined,GAM
Age15_HYP_125,1,99,Test,15,12.4326293156112,Combined,GAM
Age15_HYP_157,1,110,Test,15,13.1881186720416,Combined,GAM
Age15_HYP_198,2,171,Test,15,13.9340920427769,Combined,GAM
