indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,se.fit,lower,upper,DataType,LogAge,LogLen
Age16_HIP_1810,2,175,Test,16,12.7783880690002,Combined,GAM,1.36092922304308,10.1109667918358,15.4458093461646,Wild,2.77258872223978,5.16478597392351
Age16_HYP_89,2,170,Test,16,16.7945794727432,Combined,GAM,1.04153231900529,14.7531761274928,18.8359828179936,Wild,2.77258872223978,5.13579843705026
Age16_HYP_114,1,113,Test,16,15.4494564297613,Combined,GAM,1.126714449297,13.2410961091392,17.6578167503834,Wild,2.77258872223978,4.72738781871234
Age16_HYP_205,1,94,Test,16,15.9970715008823,Combined,GAM,0.91077532282179,14.2119518681516,17.782191133613,Wild,2.77258872223978,4.54329478227
Age16_HYP_242,1,118,Test,16,16.3409904306363,Combined,GAM,1.24244413502672,13.9057999259839,18.7761809352886,Wild,2.77258872223978,4.77068462446567
Age16_HIP_3157,2,175,Test,16,17.5600694645745,Combined,GAM,1.21584787670824,15.1770076262264,19.9431313029227,Wild,2.77258872223978,5.16478597392351
Age16_HIP_1758,1,131,Test,16,13.7060300037791,Combined,GAM,1.27041571336986,11.2160152055742,16.196044801984,Wild,2.77258872223978,4.87519732320115
Age16_HIP_1387,2,125,Test,16,15.8301061955167,Combined,GAM,0.853102836794029,14.1580246354004,17.502187755633,Wild,2.77258872223978,4.8283137373023
Age16_HIP_1401,1,98,Test,16,15.4932345969549,Combined,GAM,1.16480545043427,13.2102159141037,17.776253279806,Wild,2.77258872223978,4.58496747867057
Age16_HIP_1414,2,180,Test,16,15.459893763753,Combined,GAM,0.899253324708563,13.6973572473242,17.2224302801818,Wild,2.77258872223978,5.19295685089021
Age16_HIP_5348,2,161,Test,16,19.507937230886,Combined,GAM,0.728184853650544,18.0806949177309,20.9351795440411,Wild,2.77258872223978,5.08140436498446
Age16_HIP_1985,2,191,Test,16,18.8360070444782,Combined,GAM,0.75302311751572,17.3600817341474,20.311932354809,Wild,2.77258872223978,5.25227342804663
Age16_HIP_1717,1,95,Test,16,13.0802900322075,Combined,GAM,0.877003287802619,11.3613635881144,14.7992164763007,Wild,2.77258872223978,4.55387689160054
Age17_HYP_110,1,119,Test,17,16.8490259099649,Combined,GAM,0.896069038870562,15.0927305937785,18.6053212261512,Wild,2.83321334405622,4.77912349311153
Age17_HYP_156,1,114,Test,17,17.0523409699387,Combined,GAM,0.955010321602308,15.1805207395981,18.9241612002792,Wild,2.83321334405622,4.7361984483945
Age17_HYP_162,1,118,Test,17,18.4329753669176,Combined,GAM,0.978196305662555,16.515710607819,20.3502401260162,Wild,2.83321334405622,4.77068462446567
Age17_HIP_3148,2,162,Test,17,18.4449082236066,Combined,GAM,0.842766269802439,16.7930863347938,20.0967301124194,Wild,2.83321334405622,5.08759633523238
Age17_HIP_3150,2,136,Test,17,16.2769188714202,Combined,GAM,1.25277028297388,13.8214891167914,18.732348626049,Wild,2.83321334405622,4.91265488573605
Age17_HIP_1753,2,209,Test,17,17.269591420682,Combined,GAM,1.07991825015316,15.1529516503819,19.3862311909822,Wild,2.83321334405622,5.34233425196481
Age17_HIP_3019,2,156,Test,17,12.9531251441496,Combined,GAM,1.09560779736686,10.8057338613106,15.1005164269887,Wild,2.83321334405622,5.04985600724954
